x,y,z
647,7364,5279
5933,5273,5076
11635,3721,4913
17657,2403,5471
23738,751,7102
29746,-530,8787
32767,-811,9942
32767,-985,10925
32700,-1008,11081
32585,-826,10283
29628,-444,8664
24745,513,6805
20410,2368,4873
16055,5312,2846
10849,8744,545
4696,12608,-2101
-3508,16636,-4632
-13382,20450,-7153
-23086,24082,-8511
-30439,27062,-8084
-32768,28430,-6527
-32768,28490,-3649
-32713,27322,170
-31729,25218,4944
-28130,24033,6864
-24372,22478,6153
-20536,20413,5875
-16953,17824,5083
-13129,15118,4485
-9049,12172,4639
-3603,9083,5065
2095,6307,5445
7505,3886,5672
13562,1769,6046
19795,551,6481
25827,377,6594
31355,738,7158
32767,745,8304
32764,388,9418
32727,-12,10051
31068,348,9430
25858,553,7985
20942,1341,6964
16696,3094,6120
12651,5926,4202
7879,10207,1276
1746,14209,-1290
-5847,17839,-3584
-14623,22045,-6016
-23442,25814,-7451
-30195,28158,-6878
-32768,28438,-4980
-32768,26563,-2523
-32355,24680,542
-29025,23248,3494
-23980,21747,7248
-20631,20333,7910
-17520,18778,7054
-13590,16550,6255
-9826,13561,5562
-5051,11068,5349
-663,8678,5655
4018,6318,5962
9262,4259,6103
15032,2529,6044
21266,1582,6096
27151,1156,6477
32142,1083,7333
32767,899,8885
32722,480,10528
32296,401,10758
28215,253,9488
23307,938,7619
19137,3096,5388
15110,5909,3230
10562,9287,1145
4600,12709,-1293
-3017,16717,-3701
-12375,20431,-5616
-21719,23787,-6784
-29781,26978,-6834
-32768,28234,-5841
-32768,27836,-3806
-32694,26656,-1048
-31682,24773,2996
-27064,22837,6569
-22504,21138,6832
-17295,19725,6527
-13430,17545,5551
-10092,15266,4645
-6606,13338,4133
-3290,11004,3933
634,8370,3841
5466,5872,4025
11294,3974,3936
17582,2516,3824
24148,1561,4669
30049,816,6564
32767,458,8537
32767,447,10147
32709,640,10901
32095,885,10554
26932,693,8710
20997,1970,6314
16132,4061,4448
11469,6184,2918
6511,8837,1450
1359,11928,-454
-3945,15622,-2269
-9871,19757,-3501
-16641,23744,-4243
-23573,26859,-4262
-29084,28839,-3517
-32643,29310,-1976
-32768,28506,-102
-32437,26989,1863
-29175,25068,3960
-24557,23065,5305
-20902,21130,5651
-17156,19411,5021
-13144,17228,4285
-9774,14636,4023
-6049,11819,4219
-1915,8763,4588
2618,6077,5032
7707,3500,5166
13569,1075,5452
20351,-781,6376
27098,-1856,7595
32584,-1992,8828
32767,-1891,10034
32691,-1806,10803
32753,-1543,10369
31636,-1149,8567
26711,-621,6751
21735,860,5388
17190,3035,4092
12937,6474,2037
8111,11184,-749
987,15576,-3222
-8300,19325,-5111
-18062,23285,-6766
-26492,26737,-7054
-32174,28504,-5851
-32768,28989,-3994
-32716,27930,-1390
-32463,26320,1887
-28869,25006,5423
-24202,23507,6823
-21123,21380,6194
-16726,19363,5838
-13043,16358,5028
-9293,13713,4581
-5312,11249,4667
-1118,8629,4997
3470,6302,5417
8543,3846,5853
14004,1521,6243
20566,-215,6683
27992,-935,7437
32767,-1081,8751
32767,-1137,10348
32683,-1001,11082
32749,-726,10690
30220,-1002,9282
24418,-889,7555
19387,483,6218
15210,2647,4629
11432,6259,2038
6984,11137,-1236
243,15925,-4266
-8675,20224,-6844
-18572,24566,-8784
-28151,28049,-8902
-32768,29798,-7465
-32768,29595,-5595
-32670,28475,-2869
-32768,26529,493
-30254,24352,4366
-25376,22673,6274
-21982,21012,5651
-17584,19359,4944
-13589,16674,4197
-9893,13940,3861
-6113,11102,4060
-1825,8346,4409
2895,5892,4894
7641,3485,5092
13262,1479,5150
19833,101,5674
26914,-468,6614
32719,-649,8157
32767,-1072,9974
32681,-1494,11656
32755,-1715,12187
32166,-1496,10651
27388,-1089,8246
21410,322,6416
16635,3037,4386
12266,6664,2142
7701,10485,41
2144,14371,-1997
-5569,17998,-4068
-15326,21970,-6180
-24960,25579,-7156
-32043,27977,-6768
-32768,28897,-5504
-32700,28465,-3609
-32740,26441,-871
-30563,24213,3478
-25109,22341,6532
-20834,20451,6970
-16787,18843,6804
-13000,16452,6106
-9446,14095,5314
-5845,12016,4651
-1939,9918,4267
2633,7734,4346
7276,5670,4512
12498,3553,4868
18077,1487,6031
23754,-217,7655
29277,-1299,9296
32767,-1583,10578
32767,-1337,11602
32702,-775,12219
32571,-514,11731
28967,-964,9773
23414,-351,7889
18436,848,6417
14033,2758,5045
9898,4957,3473
6068,7864,1296
2223,11946,-1616
